,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,neg_log_loss_mean,neg_log_loss_std
V4,0.010657204961002531,0.0053811094107584,0.12793444670165136,0.09136959479457976,0.0005336545550235161,0.0001837667248652416
V14,0.009384989131824683,0.002970915884611115,0.09331625988594038,0.11161016924123796,0.0007172553780679454,0.00011062591813264046
Amount,0.0010676384094106429,0.0010023225286148725,0.10874927197201527,0.055134973609698004,0.0001492125181715456,6.408214140776423e-05
V12,0.0010164940544688307,0.0015857972005172219,0.1638765703126555,0.025840091880065186,0.0003613821970898042,0.0001310385011391061
V8,0.00021097046413510735,0.0007015182870892539,0.15436398123190573,0.02583355469577095,9.136257068317784e-05,9.136535456650433e-05
V23,0.00020457741976733778,2.5572177470889467e-05,0.0032085561497325445,0.00035650623885921103,1.2954078971486146e-05,4.957079332141925e-06
V26,0.00019179133103193192,0.0001896483438715132,0.11294744411705508,0.0026701053858896985,3.8036895331144984e-05,2.946683711558961e-05
V24,0.00013425393172240564,0.00014137159178811485,0.057108520001522,0.05622229286529024,2.243317551832943e-05,1.2769124814884667e-05
V21,0.00012786088735463607,0.00013711552608059086,0.0019186814134631413,0.0024619960506708934,1.6358569725513464e-07,1.6740158418681756e-05
V10,7.032348804506539e-05,7.803705162854646e-05,0.0011314041745730363,0.0012135530923987497,5.971274359304337e-05,4.725579884846412e-06
V2,5.7537399309626205e-05,6.031185994153034e-05,0.000941471163245311,0.000963542777359838,-3.9863428757544016e-05,2.8815007930585707e-06
V7,4.475131057419812e-05,0.00015672740918207785,0.0005490288654179775,0.002657698989093682,6.22540159772901e-06,1.7467040753859953e-05
V9,3.1965221838725635e-05,3.196522183863681e-05,0.0005376344086021057,0.0005376344086021057,8.469701589218504e-06,5.61274331296858e-06
V20,2.557217747100049e-05,0.00011857330898218929,0.09932764375965153,0.034841588317849274,1.8854651669816575e-05,2.7634122903541385e-05
V22,1.9179133103253144e-05,2.9296609736357594e-05,0.0003225806451612634,0.0004927500747263933,-3.1863687214122226e-06,1.4650767135246452e-05
V1,1.2786088735539103e-05,4.784116336495058e-05,0.044214559386973204,0.054622418280888464,-6.426069463550928e-06,2.8738441217561e-06
V15,1.2786088735528e-05,2.5572177470917223e-05,0.011218637992831538,0.03329903426712689,-1.0077448757699232e-07,2.348507529491197e-06
V27,6.393044367802858e-06,1.917913310318653e-05,0.00010752688172042114,0.0003225806451612634,1.6497237717181742e-08,7.954496451657273e-07
V6,6.393044367791756e-06,4.475131057411406e-05,0.0110962798170807,0.033345703647692154,-2.590083796058431e-06,6.697197127889038e-06
V28,6.661338147750939e-17,5.438959822042074e-17,0.0,0.0,5.135460163939866e-06,1.3378912396829816e-07
V25,-2.5572177470833956e-05,3.131939320781007e-05,-0.00045977011494251484,0.0005631010902949665,-4.312664935044461e-06,3.12851806189762e-06
V18,-0.00012146784298675551,3.442759753951877e-05,-0.0022669220945082946,0.000682126085419537,-9.297495102920461e-06,5.293609287233324e-06
V19,-0.00013425393172219468,8.788982920899364e-05,0.1125952731814801,0.016889936363311778,2.7851063241932377e-05,1.7364234819443704e-05
V5,-0.00014704002045765608,9.063704691700897e-05,0.030092627678834572,0.05119820605071093,-3.81734488224515e-06,1.4658657089227897e-05
V3,-0.00014704002045767828,0.0003857607682277356,0.017409121253909386,0.04212142719879811,2.9566908660542047e-05,5.436488763441045e-05
V16,-0.0001534330648253923,0.00012197151277545375,-0.0030747391281317647,0.002554748974866547,-2.285763766172967e-06,8.597427092963144e-06
V13,-0.0003132591740185875,0.00036440352896052107,-0.009395904722517634,0.01323314795134383,-5.4279658185045684e-05,4.9912048027186705e-05
V11,-0.0004411200613731681,0.00020705964378854612,0.011080179080179086,0.04738704568356574,-9.32462625369921e-06,2.5213838679805367e-05
V17,-0.0006456974811404282,8.788982920896134e-05,0.004417578035999093,0.04136347375311926,0.0004864510886899586,4.192266635495238e-05
