,gain,total_gain,weight,cover,total_cover
V14,0.12175302374282819,0.2556757461949666,0.10810810810810811,0.09138813815094254,0.20302653074534682
V17,0.10811364906262026,0.18649197012357596,0.0888030888030888,0.07570612265579675,0.13815409598550848
V16,0.09518354154125526,0.06067818181730781,0.032818532818532815,0.21372812351387802,0.14414034263318687
V10,0.08868031322789278,0.10142589015319539,0.05888030888030888,0.07529148951781489,0.0911004778831994
V12,0.08250918930272827,0.10829094658726605,0.06756756756756757,0.10180239083648351,0.14135166904546798
V11,0.07778181454963577,0.048126446242330985,0.03185328185328185,0.12499666161511207,0.08181958953072398
V9,0.04922485757974302,0.023996592984540228,0.025096525096525095,0.07824332348826568,0.040352048136785834
V18,0.04347531813421318,0.01059687732784114,0.012548262548262547,0.09536508840750854,0.02459108486912299
V4,0.030110430510237526,0.055326704889839054,0.0945945945945946,0.024987723049475635,0.04857331224288086
V20,0.024893247030382495,0.015402359241472994,0.03185328185328185,0.0017875466165051157,0.0011700819298971754
V26,0.022932229760836347,0.016338856651111996,0.03667953667953668,0.0011918151815040136,0.0008983331957021176
V6,0.0228024388672004,0.008123191330973919,0.01833976833976834,0.000913047586880983,0.00034410575804219535
V27,0.0227344586243671,0.00980402097360805,0.0222007722007722,0.0015497453033171404,0.0007070222784240214
V3,0.021078407940880933,0.018179728926785613,0.0444015444015444,0.05042097771180751,0.04600595190553004
V7,0.019904388549258523,0.00895677870595324,0.023166023166023165,0.002426803722453977,0.0011552895247644726
V28,0.01748448646145969,0.00786784658310041,0.023166023166023165,0.0010555283458105686,0.0005024884500234022
V22,0.016377828414360536,0.002763698068205247,0.008687258687258687,0.0011761404832240098,0.00020996488204319056
V2,0.014280249535985032,0.009103460214599023,0.032818532818532815,0.042228699193379675,0.028479447654730747
V1,0.01415191620442652,0.0010613705014913145,0.003861003861003861,0.0011919515999742716,9.457221342455478e-05
V8,0.013184486846210833,0.012112982466040595,0.0472972972972973,0.0013390014517402835,0.0013014337779160673
V21,0.01244065429754818,0.006997715112539519,0.02895752895752896,0.0015416159044543294,0.0009173654777761314
V13,0.011222878956998052,0.006523155722089178,0.029922779922779922,0.0015348923565689516,0.0009438099286852141
V19,0.011060776885402723,0.005599396027585828,0.026061776061776062,0.0022940403104176952,0.0012285978149836915
Amount,0.010872773192367022,0.011008441842961784,0.052123552123552123,0.0014764638936627173,0.0015814721400576705
V5,0.010679392517277366,0.0038044504961636935,0.01833976833976834,0.0012934220192411337,0.0004874597832947091
V15,0.009795919219498713,0.0009183473411285894,0.004826254826254826,0.0010677866410319654,0.00010590084430683804
V23,0.009515015335096261,0.0016056237505815845,0.008687258687258687,0.0017359591386515289,0.0003099038310048162
V24,0.00948025522661764,0.0021330107736915968,0.011583011583011582,0.0013418792024567684,0.00031940346703397725
V25,0.008276058482671381,0.0010862089490526123,0.006756756756756757,0.0009236221016397262,0.0001282440701357723
