feature_1,feature_2,correlation
V12,V14,-0.522774525848983
V14,V12,-0.522774525848983
V2,Amount,-0.5051406361703916
Amount,V2,-0.5051406361703916
Amount,V5,-0.4880345001842134
V5,Amount,-0.4880345001842134
V28,V27,0.4714431888762032
V27,V28,0.4714431888762032
Amount,V7,0.4358305057794762
V7,Amount,0.4358305057794762
V17,V12,-0.3847755004753247
V12,V17,-0.3847755004753247
V13,V12,-0.37545768648884337
V12,V13,-0.37545768648884337
V16,V12,-0.3258834387701315
V12,V16,-0.3258834387701315
V20,V21,-0.3236498261972701
V21,V20,-0.3236498261972701
V25,V1,0.32070869426909876
V1,V25,0.32070869426909876
V25,V3,-0.31955706807817424
V3,V25,-0.31955706807817424
V17,V18,-0.31514954547954305
V18,V17,-0.31514954547954305
V3,V22,0.30193263085711336
V22,V3,0.30193263085711336
V11,V14,0.2934663549691408
V14,V11,0.2934663549691408
V3,V16,-0.2833197314931118
V16,V3,-0.2833197314931118
V3,V6,-0.2673741376879389
V6,V3,-0.2673741376879389
V14,V10,-0.26465688613361443
V10,V14,-0.26465688613361443
V7,V17,-0.2627143761404
V17,V7,-0.2627143761404
V14,V13,0.2555532086142979
V13,V14,0.2555532086142979
V17,V4,0.2510067652095659
V4,V17,0.2510067652095659
V12,V9,-0.2508189879222133
V9,V12,-0.2508189879222133
Amount,V3,-0.24093685985351174
V3,Amount,-0.24093685985351174
Amount,V6,0.23855881405047308
V6,Amount,0.23855881405047308
V16,V22,-0.23602663627429357
V22,V16,-0.23602663627429357
V14,V7,-0.23477889195834775
V7,V14,-0.23477889195834775
V22,V12,0.23204854917306816
V12,V22,0.23204854917306816
V8,V21,-0.2284670643747397
V21,V8,-0.2284670643747397
V1,V2,-0.22826839671827312
V2,V1,-0.22826839671827312
V1,V3,-0.22607242306503086
V3,V1,-0.22607242306503086
V15,V3,-0.22216445106587418
V3,V15,-0.22216445106587418
V4,V3,0.22167573666810106
V3,V4,0.22167573666810106
V17,V11,0.2188570625107245
V11,V17,0.2188570625107245
V10,V20,0.21230668726731194
V20,V10,0.21230668726731194
V22,V21,-0.2091908845971703
V21,V22,-0.2091908845971703
V17,V13,0.2070484842007463
V13,V17,0.2070484842007463
V11,V12,-0.20468974606866025
V12,V11,-0.20468974606866025
V8,V1,0.20216685691610686
V1,V8,0.20216685691610686
V10,V28,-0.19956039420067678
V28,V10,-0.19956039420067678
V7,V5,-0.1990764148549996
V5,V7,-0.1990764148549996
V17,V16,-0.1961707351916338
V16,V17,-0.1961707351916338
V12,V6,-0.19376658853890866
V6,V12,-0.19376658853890866
V6,V5,0.18843261982313345
V5,V6,0.18843261982313345
V8,V2,-0.1811573886992935
V2,V8,-0.1811573886992935
V1,V16,0.17588233690416566
V16,V1,0.17588233690416566
Amount,V1,-0.17457925721180048
V1,Amount,-0.17457925721180048
V5,V26,-0.17389564235530366
V26,V5,-0.17389564235530366
V28,V14,0.17274787822636994
V14,V28,0.17274787822636994
V5,V28,-0.1711586080037947
V28,V5,-0.1711586080037947
V10,V2,0.16851061020904112
V2,V10,0.16851061020904112
V15,V4,-0.1647659074815029
V4,V15,-0.1647659074815029
V14,V16,0.16399050014562
V16,V14,0.16399050014562
V4,V26,0.16354952559368516
V26,V4,0.16354952559368516
V1,V7,-0.16347611642814908
V7,V1,-0.16347611642814908
V5,V4,-0.16184277454773002
V4,V5,-0.16184277454773002
V2,V25,-0.16114563652019379
V25,V2,-0.16114563652019379
V13,V11,0.16050273518912428
V11,V13,0.16050273518912428
V17,V14,0.1603297228048164
V14,V17,0.1603297228048164
V9,V15,-0.15845723371870019
V15,V9,-0.15845723371870019
V5,V17,-0.15600701623234028
V17,V5,-0.15600701623234028
V7,V15,0.15592510366593598
V15,V7,0.15592510366593598
V22,V14,-0.15583037879530484
V14,V22,-0.15583037879530484
V7,V2,0.1549024588116412
V2,V7,0.1549024588116412
V1,V14,0.1531937628631142
V14,V1,0.1531937628631142
V28,Amount,0.15291867799079192
Amount,V28,0.15291867799079192
V18,V19,0.15103684288973238
V19,V18,0.15103684288973238
V26,V22,-0.15069807233871374
V22,V26,-0.15069807233871374
V28,V3,-0.14990185729019956
V3,V28,-0.14990185729019956
Amount,V20,0.14505158257744416
V20,Amount,0.14505158257744416
V16,V25,0.14480254302375853
V25,V16,0.14480254302375853
Amount,V23,-0.14456752940738363
V23,Amount,-0.14456752940738363
V13,V16,0.14292740637961346
V16,V13,0.14292740637961346
V4,V10,0.14231848855848894
V10,V4,0.14231848855848894
V19,V6,0.14172385668255288
V6,V19,0.14172385668255288
V23,V17,0.14140194100449588
V17,V23,0.14140194100449588
V4,V9,-0.13966947361397533
V9,V4,-0.13966947361397533
V10,V22,-0.13922032162173656
V22,V10,-0.13922032162173656
V16,V9,-0.13905717700708162
V9,V16,-0.13905717700708162
V28,V9,-0.13792154907294016
V9,V28,-0.13792154907294016
V7,V25,-0.13334759287234907
V25,V7,-0.13334759287234907
V26,V12,0.13206660412782797
V12,V26,0.13206660412782797
V20,V5,0.1312956157815959
V5,V20,0.1312956157815959
V6,V13,0.13127644154994036
V13,V6,0.13127644154994036
V12,V1,-0.13103026669734322
V1,V12,-0.13103026669734322
V1,V21,-0.1289398671625504
V21,V1,-0.1289398671625504
V14,V26,-0.12795217679476034
V26,V14,-0.12795217679476034
V5,V8,0.12745909452426668
V8,V5,0.12745909452426668
V7,V16,-0.12648574947946079
V16,V7,-0.12648574947946079
V3,V27,-0.12424473005046541
V27,V3,-0.12424473005046541
V25,V11,-0.12382851305808194
V11,V25,-0.12382851305808194
V25,V9,0.12342673824182525
V9,V25,0.12342673824182525
V1,V20,-0.12094812642636552
V20,V1,-0.12094812642636552
V23,V7,-0.11803024225630714
V7,V23,-0.11803024225630714
V8,V23,-0.11761739788924111
V23,V8,-0.11761739788924111
V26,V11,-0.11718841817187887
V11,V26,-0.11718841817187887
V10,V1,-0.11645506420103202
V1,V10,-0.11645506420103202
V15,V17,-0.11631353270733444
V17,V15,-0.11631353270733444
V22,V23,-0.11564756933737355
V23,V22,-0.11564756933737355
V1,V13,0.11529830825280471
V13,V1,0.11529830825280471
V22,V5,-0.1143691211105623
V5,V22,-0.1143691211105623
V22,V7,0.11404929168402304
V7,V22,0.11404929168402304
V2,V27,0.11343547279430248
V27,V2,0.11343547279430248
V16,V11,0.11176310674508085
V11,V16,0.11176310674508085
V1,V27,-0.11157147480256736
V27,V1,-0.11157147480256736
V12,V7,0.11144014722219808
V7,V12,0.11144014722219808
V6,V25,0.11130347785036535
V25,V6,0.11130347785036535
V18,V23,-0.11123301076771602
V23,V18,-0.11123301076771602
V25,V17,-0.11053413287250441
V17,V25,-0.11053413287250441
V20,V14,-0.10940522612510199
V14,V20,-0.10940522612510199
V10,V17,-0.10907825261386574
V17,V10,-0.10907825261386574
V15,V5,0.10792917022149866
V5,V15,0.10792917022149866
V22,V13,-0.10721256952677768
V13,V22,-0.10721256952677768
V14,V18,-0.10705690364279302
V18,V14,-0.10705690364279302
V9,V20,0.10639239995314877
V20,V9,0.10639239995314877
V8,V7,0.10549061908457463
V7,V8,0.10549061908457463
V10,V12,-0.10504680383778166
V12,V10,-0.10504680383778166
V3,V26,0.10490948150942997
V26,V3,0.10490948150942997
V23,V14,0.10407017229922338
V14,V23,0.10407017229922338
V12,V8,-0.10312717829598905
V8,V12,-0.10312717829598905
V28,V16,0.1030107210374386
V16,V28,0.1030107210374386
V7,V6,-0.1018616294243453
V6,V7,-0.1018616294243453
V6,V16,0.10079403454088538
V16,V6,0.10079403454088538
V18,V1,-0.10070698824081138
V1,V18,-0.10070698824081138
Amount,V4,0.10038870733953101
V4,Amount,0.10038870733953101
V23,V25,-0.10031032544531296
V25,V23,-0.10031032544531296
V11,V23,0.10023308674220321
V23,V11,0.10023308674220321
V14,V3,-0.09959060669884542
V3,V14,-0.09959060669884542
V1,V9,-0.099396483860356
V9,V1,-0.099396483860356
V10,V11,0.09917678554218821
V11,V10,0.09917678554218821
V22,V1,-0.09914661162693245
V1,V22,-0.09914661162693245
V11,V19,-0.09818472417860741
V19,V11,-0.09818472417860741
V23,V1,-0.09660210411870093
V1,V23,-0.09660210411870093
V21,V12,0.0955032146095692
V12,V21,0.0955032146095692
V22,V25,-0.09550300094682271
V25,V22,-0.09550300094682271
V26,V10,0.09538753774363683
V10,V26,0.09538753774363683
V6,V22,-0.09513003585604857
V22,V6,-0.09513003585604857
V10,Amount,-0.09485152715530375
Amount,V10,-0.09485152715530375
V2,V12,0.09351821680124628
V12,V2,0.09351821680124628
V4,V16,-0.0934106372335745
V16,V4,-0.0934106372335745
V3,V5,-0.0921549595175192
V5,V3,-0.0921549595175192
V2,V6,-0.09134432526366007
V6,V2,-0.09134432526366007
V13,V15,-0.09121809685213286
V15,V13,-0.09121809685213286
V5,V1,-0.08958436898667892
V1,V5,-0.08958436898667892
V15,V6,-0.08950721039059098
V6,V15,-0.08950721039059098
V23,V20,-0.08851613126015677
V20,V23,-0.08851613126015677
V12,V15,0.08763802160764056
V15,V12,0.08763802160764056
V14,V6,0.08750594388294972
V6,V14,0.08750594388294972
V8,Amount,-0.08661665097385968
Amount,V8,-0.08661665097385968
V11,V1,0.08594236977329314
V1,V11,0.08594236977329314
V13,V9,0.085684771182065
V9,V13,0.085684771182065
V6,V24,0.08487013666595075
V24,V6,0.08487013666595075
V2,V3,0.08449719489532069
V3,V2,0.08449719489532069
V22,V15,0.08406250335690157
V15,V22,0.08406250335690157
V5,V2,0.08309936232197701
V2,V5,0.08309936232197701
V20,V3,-0.08198412374419621
V3,V20,-0.08198412374419621
V26,V25,-0.08144192926450287
V25,V26,-0.08144192926450287
V28,V8,0.08138485058462627
V8,V28,0.08138485058462627
V7,V21,-0.08132900303516022
V21,V7,-0.08132900303516022
V9,V17,0.08085115202961615
V17,V9,0.08085115202961615
V26,Amount,0.0806051323971745
Amount,V26,0.0806051323971745
V22,V20,0.07977019284989334
V20,V22,0.07977019284989334
V11,V9,0.077985129628353
V9,V11,0.077985129628353
V1,V4,0.07764355219344941
V4,V1,0.07764355219344941
V27,V4,-0.07736855783133652
V4,V27,-0.07736855783133652
V4,V11,-0.07710118907140522
V11,V4,-0.07710118907140522
V14,V15,-0.0768724472302057
V15,V14,-0.0768724472302057
V15,V26,-0.07683641787649795
V26,V15,-0.07683641787649795
V27,V12,0.07627732521985257
V12,V27,0.07627732521985257
V14,V2,-0.07623039331792329
V2,V14,-0.07623039331792329
V26,V1,-0.07618576182344498
V1,V26,-0.07618576182344498
V18,V25,0.07543808365211108
V25,V18,0.07543808365211108
