feature,other-test,other-validation,test-validation,train-other,train-test,train-validation
V1,0.0021545698215473504,0.002714363760618221,0.00013849415273837448,0.001919710997074122,0.00010330007718338614,5.7065539490371684e-05
V2,0.009201037295017329,0.004863748313791128,0.0006251586064784211,0.001993278042505985,0.00010586369299290018,0.000501426227572139
V3,0.09390449758024519,0.10071570407675745,4.6025988603725854e-05,0.008220839643244025,0.04304423937087508,0.08598437655241233
V4,0.020945568254504044,0.01645627358292616,0.0006365571752850737,0.00449710930497778,0.01567247840476518,0.010596214852972102
V5,0.010689472393563684,0.0022528917820753896,4.4324479197670596e-05,0.0014575430895155449,0.013409465525200889,0.002247145405348385
V6,0.0004884869463532936,0.0015282720046296324,0.0005538544935589095,0.0016672423593392684,2.3716817306686466e-05,8.844696795706038e-05
V7,0.0003318007695900148,0.001145270800664408,0.00018967472339931606,0.0007907756217823518,0.0001642991627054446,0.0002588503414760771
V8,0.0012373103159133364,0.0007481193201727861,0.0002243137781096933,9.135750065066803e-05,2.1315468634114104e-05,6.875144388109907e-05
V9,0.009974886094217112,0.008887471768914555,0.0005320283251217708,0.011258902025077299,0.006209614963519396,0.0037076939248081404
V10,0.0006825071069092844,0.0074233494768068215,0.0009311316084916844,0.0017240319979702015,0.0012480080272996635,0.002522013706884032
V11,0.0628611218318273,0.06284398644263002,0.000256657452777258,0.004781217903862247,0.035706323036563334,0.03500453537036792
V12,0.08341528620048505,0.08353045404980294,0.0010384468763134328,0.010522648083042525,0.015887888211564193,0.011032954763331345
V13,0.03337076258696214,0.028820054277883717,0.0005741615630415855,0.006223957083057117,0.009490149141659921,0.01064289509301537
V14,0.010529511929370208,0.024186662721313482,0.0002842186975555929,0.001768560574979804,0.008854989148221038,0.008835694667501117
V15,0.018925110996445504,0.021475218439472962,0.00021856344921506403,0.0006751717511017135,0.02045529817823508,0.021762007078962885
V16,0.00024672683919964007,0.0009823617090161905,0.000672764512195421,0.000937217891422573,0.0006015836948405144,0.0012322405772880007
V17,0.0036822232913489767,0.002835458769277996,3.9549872663145044e-05,0.0014476040044816333,0.0018420396865544899,0.0009120768476909473
V18,0.01065500705497162,0.009184165547308472,0.0006767676790087653,0.002534380908496018,0.0028206802379887414,0.0020827965972706553
V19,0.005895370739076677,0.0044272901859740066,0.000859397211346258,0.0005577782565179013,0.0015631525097622885,0.0008176249322608979
V20,0.0029590051729828453,0.0021760109029459883,0.00029776269323595424,0.0009187860152350036,0.001270915292027418,0.0005249605554810413
V21,0.0011702588080318248,0.000543151116846539,0.00022614430967489207,0.0004406358679287137,2.6784324363531897e-05,0.000103432892086133
V22,0.010400310778873349,0.031469305495179775,0.0006680692860357078,0.0016640248306607197,0.0015404607994254586,0.021154140926742795
V23,0.0006284633637834951,0.001321991767009806,0.00045236900676406505,0.0006780633967635112,9.242654998281828e-05,0.000161464397703748
V24,0.012008254310411696,0.0012968282010911408,0.0004198231792752473,0.002260979983044287,0.004077661328344824,0.0014205125139162584
V25,0.017573897814444343,0.03848290295272161,0.0008667262449781743,0.0012619591259111244,0.012683575089289805,0.010950361159035759
V26,0.018140402189261814,0.007700905505048071,0.0009441017866110712,0.006203652662645782,0.011066002639627922,0.0087945615607418
V27,0.00043933244010527196,0.0005707638656547262,0.00018269452916495782,0.0003202359691458883,2.4101435209614934e-05,3.83246638287185e-05
V28,0.0407536058187356,0.0006192796224229683,0.0002531600239718947,0.0002651422603735841,0.03789520920646118,0.00021540942217134233
Amount,5.845022577839546e-05,0.0011430358851601467,0.0002403720388336185,0.0009238262825194592,4.1966843376779436e-05,8.239401385577277e-05
