,gain,total_gain,weight,cover,total_cover
V17,0.13763135185899347,0.19981565006484284,0.06046511627906977,0.14710810515009123,0.1874415071476825
V12,0.08840652864237458,0.10695847361152805,0.050387596899224806,0.14622326794569848,0.15526172173009423
V14,0.07386784186109255,0.13817802358805756,0.07790697674418605,0.14778045515412916,0.2426149754484441
V11,0.06554675585488681,0.05673116041761041,0.03604651162790698,0.15808032175420153,0.12007852215804823
V10,0.05710537197880325,0.06855737774411726,0.05,0.08859732738357136,0.09335012650870374
V16,0.045969987122533716,0.03165874076548834,0.02868217054263566,0.13591743026171985,0.08215072856265627
V9,0.03310420154497462,0.02310637966764214,0.029069767441860465,0.03535190277775694,0.021656018077098667
V4,0.03211136371227197,0.054389824251006635,0.07054263565891473,0.02249143698298828,0.03343437146018549
V26,0.027189093075477833,0.01948376870868308,0.029844961240310077,0.0012992019029044045,0.000817093871047412
V7,0.026884633846021404,0.014261542806293808,0.022093023255813953,0.026164973254441382,0.01218147015461694
V20,0.025688157855759928,0.0191253978000719,0.031007751937984496,0.0033627725776151475,0.002197313666241442
V28,0.024838155842068464,0.020110650238420513,0.03372093023255814,0.0011497696184896685,0.0008170236949551275
V27,0.023577764895383616,0.016457028937007775,0.029069767441860465,0.000923928271852255,0.0005659839275999896
V2,0.023567102333070224,0.01688824156333592,0.029844961240310077,0.0007807156726200316,0.0004910075838451576
V6,0.02335034016124739,0.014125183665173964,0.025193798449612403,0.00079602890631151,0.00042261681634856205
V13,0.022939602149613735,0.015584622317839452,0.028294573643410852,0.0016204447745454217,0.0009661880264332689
V1,0.022764286353272246,0.013982521695607673,0.02558139534883721,0.0007405178234374115,0.00039919402526928706
V8,0.022657799466521016,0.021929997855105764,0.040310077519379844,0.0020974079026106237,0.0017816434012670624
V21,0.02221393926236631,0.016125296774888265,0.030232558139534883,0.012522170760153304,0.007977719847190623
V3,0.022150234648200536,0.02350015383952735,0.044186046511627906,0.001060886693492789,0.0009878214183760446
V18,0.02133469519950142,0.013700077945156161,0.026744186046511628,0.013454999993049459,0.007582935665668477
Amount,0.0212895924490316,0.01604870054929783,0.031395348837209305,0.0018563256225593142,0.0012281283179601536
V5,0.021256324807077103,0.017012734753586937,0.03333333333333333,0.0029038239100241405,0.002039732946960553
V25,0.02016448961460389,0.012385646996475602,0.02558139534883721,0.013598869983864333,0.007330799412074185
V15,0.020068965139767306,0.009338615955677252,0.01937984496124031,0.0010479638477397803,0.00042797744276716734
V24,0.01934858542347936,0.010624017108123511,0.022868217054263566,0.0011368500300299378,0.000547847603715281
V22,0.018792968587715494,0.008395066277040002,0.018604651162790697,0.0022284406679529394,0.0008736688758307276
V23,0.018234751563618333,0.009333618608402998,0.02131782945736434,0.02268331203147967,0.010189988926541018
V19,0.01794511475027185,0.012191485493991017,0.028294573643410852,0.0070203483446696635,0.004185873282378266
