index,feature,iv,adj_iv
0,V1,inf,1.7588979024056528
13,V14,inf,1.7588979024056528
3,V4,inf,1.7565967325433791
28,Amount,inf,1.467756209803904
8,V9,inf,1.1731201401750562
16,V17,inf,1.173120140175056
5,V6,inf,1.173120140175056
9,V10,inf,1.172270701738462
15,V16,inf,1.1722692317889167
18,V19,inf,1.1715286159534908
1,V2,inf,1.1715286159534908
10,V11,inf,1.1715286159534908
27,V28,inf,1.1706777075673516
20,V21,inf,1.1706777075673516
11,V12,inf,0.880996325571219
2,V3,inf,0.7714955736408926
6,V7,inf,0.7714955736408926
26,V27,inf,0.7714955736408925
17,V18,inf,0.7714955736408925
21,V22,inf,0.7714955736408925
22,V23,inf,0.7706446652547534
23,V24,inf,0.7706446652547534
24,V25,inf,0.7706446652547533
25,V26,inf,0.7706446652547533
4,V5,inf,0.7706446652547533
19,V20,inf,0.7706446652547533
12,V13,inf,0.7706446652547533
14,V15,inf,0.7706446652547533
7,V8,inf,0.7697937568686141
