index,feature,iv,adj_iv
13,V14,inf,3.897401976268615
3,V4,inf,3.5379221502511577
11,V12,3.4519112640811396,3.3242765713425326
2,V3,inf,3.2324427944559373
9,V10,3.277448196610724,3.1840568243224716
16,V17,3.2245914261335886,3.095286594328849
10,V11,3.0554860085941407,2.974218503431988
15,V16,2.9348193550652044,2.856871189423287
6,V7,2.6998716869869552,2.635297314221328
1,V2,2.517531733810931,2.4580874260747034
20,V21,inf,2.3091587339448885
17,V18,1.870194211148325,1.8414994535658464
0,V1,1.7963581635989214,1.7578294781426578
4,V5,1.7807887015703157,1.7446918520698056
8,V9,1.7730789223793741,1.7442144233215378
26,V27,1.776828370314997,1.74307673474951
27,V28,1.726082950584525,1.6682571242418873
5,V6,1.4079658481747026,1.39053734408299
7,V8,1.3016636858327766,1.2794551108595735
19,V20,0.9803090245510144,0.9653247174089085
18,V19,0.952259155353743,0.9378508901273601
22,V23,0.7315652559807135,0.7211688416921864
28,Amount,0.6671018163014999,0.6559482063230565
25,V26,0.2293303241323949,0.2257575313327287
23,V24,0.20632029872943547,0.201896136421784
24,V25,0.19116042066634714,0.18868613153584923
21,V22,0.14203233111961752,0.140134933388808
14,V15,0.10945609685981265,0.10798468411987096
12,V13,0.052366777820514014,0.05159523003069016
