feature,bin,cnt_0,cnt_1,pct_0,pct_1,woe,adj_woe
V1,"(-56.408, -1.959]",16264.0,221.0,0.09887170508705379,0.6190476190476191,1.8343590972124308,1.8365882429077047
V1,"(-1.959, -1.201]",16444.0,41.0,0.09996595661900594,0.11484593837535013,0.13876186968939944,0.15085282445680884
V1,"(-1.201, -0.819]",16470.0,15.0,0.10012401517362124,0.04201680672268908,-0.8683398710666151,-0.8355804060099024
V1,"(-0.819, -0.52]",16481.0,5.0,0.10019088610057388,0.014005602240896359,-1.9676198177972188,-1.8723399754976366
V1,"(-0.52, -0.168]",16473.0,12.0,0.10014225269915378,0.03361344537815126,-1.0916655551561214,-1.0508739128735871
V1,"(-0.168, 0.948]",16453.0,32.0,0.10002066919560354,0.0896358543417367,-0.10962145658406279,-0.09414765918094604
V1,"(0.948, 1.137]",16473.0,13.0,0.10014225269915378,0.036414565826330535,-1.0116228474825848,-0.9739128717374589
V1,"(1.137, 1.228]",16475.0,10.0,0.1001544110495088,0.028011204481792718,-1.2741085153738014,-1.2253486997575047
V1,"(1.228, 1.368]",16481.0,4.0,0.10019088610057388,0.011204481792717087,-2.1907633691114285,-2.0730106709597877
V1,"(1.368, 2.439]",16482.0,4.0,0.10019696527575139,0.011204481792717087,-2.1908240432005774,-2.07307134320832
V2,"(-72.716, -1.269]",16474.0,11.0,0.1001483318743313,0.03081232492997199,-1.1787376356999628,-1.1343162235244453
V2,"(-1.269, -0.732]",16482.0,3.0,0.10019696527575139,0.008403361344537815,-2.4785061156523587,-2.324385771489226
V2,"(-0.732, -0.389]",16480.0,5.0,0.10018480692539636,0.014005602240896359,-1.9675591400265016,-1.8722792995677595
V2,"(-0.389, -0.117]",16482.0,4.0,0.10019696527575139,0.011204481792717087,-2.1908240432005774,-2.07307134320832
V2,"(-0.117, 0.104]",16477.0,8.0,0.10016656939986382,0.022408963585434174,-1.4973734553747349,-1.4367791784277435
V2,"(0.104, 0.319]",16482.0,3.0,0.10019696527575139,0.008403361344537815,-2.4785061156523587,-2.324385771489226
V2,"(0.319, 0.63]",16473.0,13.0,0.10014225269915378,0.036414565826330535,-1.0116228474825848,-0.9739128717374589
V2,"(0.63, 0.962]",16474.0,11.0,0.1001483318743313,0.03081232492997199,-1.1787376356999628,-1.1343162235244453
V2,"(0.962, 1.315]",16457.0,28.0,0.10004498589631358,0.0784313725490196,-0.2433959364173182,-0.22572674106456642
V2,"(1.315, 22.058]",16215.0,271.0,0.09857382550335571,0.7591036414565826,2.0413325531411433,2.0431450364648343
