n_estimators,auc,aucpr,error,logloss
1,0.665804,0.167677,0.000575,0.651578
2,0.832566,0.227165,0.000575,0.613401
3,0.832566,0.532265,0.000575,0.578225
4,0.832566,0.532265,0.000575,0.545688
5,0.83263,0.66742,0.000575,0.515518
6,0.83263,0.66742,0.000575,0.487495
7,0.832119,0.667356,0.000575,0.461421
8,0.832119,0.667356,0.000575,0.437077
9,0.831895,0.667336,0.000575,0.414331
10,0.831735,0.667323,0.000575,0.393044
11,0.831735,0.667323,0.000575,0.373064
12,0.831735,0.667323,0.000575,0.354308
13,0.831671,0.532168,0.000575,0.336668
14,0.830616,0.667259,0.000575,0.320099
15,0.830616,0.667259,0.000575,0.304449
16,0.830616,0.667259,0.000575,0.289731
17,0.830552,0.667256,0.000575,0.275795
18,0.830552,0.667256,0.000575,0.262634
19,0.830552,0.667256,0.000575,0.250183
20,0.830552,0.667256,0.000575,0.238404
21,0.830552,0.667256,0.000575,0.227266
22,0.830552,0.667256,0.000575,0.216701
23,0.830552,0.667256,0.000575,0.206698
24,0.830552,0.667256,0.000575,0.197189
25,0.830552,0.667256,0.000575,0.188168
26,0.830424,0.667251,0.000575,0.179624
27,0.829721,0.667225,0.000575,0.171496
28,0.829625,0.667222,0.000575,0.16376
29,0.829625,0.667222,0.000575,0.156423
30,0.829625,0.667222,0.000575,0.149463
31,0.827324,0.667164,0.000575,0.142835
32,0.827324,0.667164,0.000575,0.136499
33,0.827324,0.667164,0.000575,0.130466
34,0.827324,0.667164,0.000575,0.124737
35,0.827324,0.667164,0.000575,0.119284
36,0.827324,0.667164,0.000575,0.114063
37,0.827324,0.667164,0.000575,0.109093
38,0.827324,0.667164,0.000575,0.104358
39,0.827324,0.667164,0.000575,0.099842
40,0.82726,0.667163,0.000575,0.095532
41,0.82726,0.667163,0.000575,0.091429
42,0.8271,0.66716,0.000575,0.087517
43,0.8271,0.66716,0.000575,0.083794
44,0.825758,0.667137,0.000575,0.080238
45,0.825694,0.667136,0.000575,0.076819
46,0.8201,0.667072,0.000575,0.073579
47,0.820036,0.667072,0.000575,0.070471
48,0.820036,0.667072,0.000575,0.067501
49,0.820036,0.667072,0.000575,0.064683
50,0.820036,0.667072,0.000575,0.06196
51,0.820036,0.667072,0.000575,0.059378
52,0.820036,0.667072,0.000575,0.056901
53,0.820036,0.667072,0.000575,0.054524
54,0.820036,0.667072,0.000575,0.052255
55,0.820036,0.667072,0.000575,0.050096
56,0.820036,0.667072,0.000575,0.04803
57,0.820036,0.667072,0.000575,0.046055
58,0.820036,0.667072,0.000575,0.044171
59,0.820036,0.667072,0.000575,0.042362
60,0.820004,0.667071,0.000575,0.040621
61,0.820004,0.667071,0.000575,0.038961
62,0.81994,0.667071,0.000575,0.037374
63,0.81994,0.667071,0.000575,0.03585
64,0.81994,0.667071,0.000575,0.034401
65,0.81994,0.667071,0.000575,0.033022
66,0.819045,0.667063,0.000575,0.031712
67,0.817479,0.667052,0.000575,0.030444
68,0.957774,0.667927,0.000575,0.029245
69,0.957774,0.667927,0.000575,0.028072
70,0.957774,0.667927,0.000575,0.026958
71,0.994886,0.676764,0.000575,0.025882
72,0.994758,0.676525,0.000575,0.024869
73,0.994758,0.676525,0.000575,0.02389
74,0.99431,0.675771,0.000575,0.022957
75,0.994246,0.675673,0.000575,0.022065
76,0.993991,0.675299,0.000383,0.02121
77,0.993799,0.675039,0.000383,0.020398
78,0.993799,0.675039,0.000383,0.019611
79,0.993735,0.674956,0.000383,0.018859
80,0.993607,0.674794,0.000383,0.018145
81,0.993607,0.674794,0.000383,0.01745
82,0.993287,0.674416,0.000383,0.016793
83,0.992904,0.674007,0.000383,0.016164
84,0.992712,0.673818,0.000383,0.015557
85,0.99252,0.673638,0.000383,0.01498
86,0.992392,0.673524,0.000383,0.014426
87,0.992392,0.673524,0.000383,0.013897
88,0.992968,0.674072,0.000383,0.013393
89,0.99252,0.673638,0.000383,0.012905
90,0.992264,0.673413,0.000383,0.01244
91,0.991817,0.673051,0.000383,0.011995
92,0.991753,0.673002,0.000383,0.011575
93,0.990986,0.672473,0.000383,0.011165
94,0.990666,0.672277,0.000383,0.010773
95,0.989899,0.671858,0.000383,0.010406
96,0.988748,0.671334,0.000383,0.010039
97,0.988429,0.671207,0.000383,0.009699
98,0.987214,0.670781,0.000383,0.009375
99,0.98683,0.670663,0.000383,0.009059
100,0.986127,0.670463,0.000383,0.008758
101,0.987022,0.535586,0.000383,0.008473
102,0.985807,0.478623,0.000383,0.008211
103,0.985168,0.478462,0.000383,0.007948
104,0.984209,0.478245,0.000383,0.0077
105,0.982355,0.477892,0.000383,0.007456
106,0.982355,0.477892,0.000383,0.007229
107,0.981204,0.477708,0.000383,0.007007
108,0.980629,0.477624,0.000383,0.006802
109,0.980629,0.477624,0.000383,0.0066
110,0.977113,0.477203,0.000383,0.006414
111,0.975387,0.47704,0.000383,0.006234
112,0.974811,0.476991,0.000383,0.006055
113,0.972957,0.476846,0.000383,0.005889
114,0.972382,0.476805,0.000383,0.005734
115,0.971551,0.476749,0.000383,0.005582
116,0.97788,0.477283,0.000383,0.005411
117,0.97756,0.477249,0.000383,0.005274
118,0.975451,0.477046,0.000383,0.005134
119,0.979798,0.477511,0.000383,0.005005
120,0.97935,0.477454,0.000383,0.004888
121,0.98862,0.479546,0.000383,0.004757
122,0.988365,0.479444,0.000383,0.00465
123,0.990922,0.480725,0.000383,0.004537
124,0.990922,0.480725,0.000383,0.004429
125,0.990474,0.480452,0.000383,0.004337
126,0.990155,0.480271,0.000383,0.004248
127,0.990155,0.480271,0.000383,0.004162
128,0.99105,0.480808,0.000383,0.004068
129,0.994182,0.483983,0.000383,0.003977
130,0.993927,0.483602,0.000383,0.003897
131,0.993991,0.483694,0.000383,0.003821
132,0.993607,0.483168,0.000383,0.003755
133,0.993671,0.483251,0.000383,0.003684
134,0.994246,0.484083,0.000383,0.003614
135,0.994374,0.484291,0.000383,0.003543
136,0.994374,0.484291,0.000383,0.003485
137,0.994374,0.484291,0.000383,0.003431
138,0.994438,0.484399,0.000383,0.003382
139,0.994374,0.484291,0.000383,0.003335
140,0.994054,0.483788,0.000383,0.003281
141,0.994246,0.484083,0.000383,0.003243
142,0.993927,0.483602,0.000383,0.003198
143,0.996356,0.489363,0.000383,0.003085
144,0.996164,0.488645,0.000383,0.00305
145,0.996164,0.488645,0.000383,0.003008
146,0.996228,0.488877,0.000383,0.002962
147,0.997059,0.492788,0.000383,0.002892
148,0.996995,0.492411,0.000383,0.002855
149,0.996931,0.49205,0.000383,0.002819
150,0.997635,0.497082,0.000383,0.002763
151,0.998274,0.505148,0.000383,0.002701
152,0.998785,0.51755,0.000383,0.002629
153,0.998785,0.51755,0.000383,0.002609
154,0.998785,0.51755,0.000383,0.002571
155,0.998785,0.51755,0.000383,0.002539
156,0.998785,0.51755,0.000383,0.002517
157,0.998721,0.515471,0.000383,0.002489
158,0.998657,0.513585,0.000383,0.002462
159,0.998594,0.511867,0.000383,0.00244
160,0.998657,0.513585,0.000383,0.002417
161,0.998657,0.513585,0.000383,0.002398
162,0.998594,0.511867,0.000383,0.002378
163,0.998466,0.508851,0.000383,0.002362
164,0.998466,0.508851,0.000383,0.002326
165,0.998274,0.505148,0.000383,0.002313
166,0.99853,0.510295,0.000383,0.002292
167,0.998466,0.508851,0.000383,0.002283
168,0.99853,0.510295,0.000383,0.002264
169,0.99853,0.510295,0.000383,0.00224
170,0.998721,0.515471,0.000383,0.002225
171,0.998657,0.513585,0.000383,0.0022
172,0.998657,0.513585,0.000383,0.002185
173,0.998657,0.513585,0.000383,0.002159
174,0.99853,0.510295,0.000383,0.002147
175,0.99853,0.510295,0.000383,0.002136
176,0.998785,0.51755,0.000383,0.002086
177,0.999169,0.536483,0.000383,0.002038
178,0.999169,0.536483,0.000383,0.002032
179,0.999169,0.536483,0.000383,0.002025
180,0.999233,0.541403,0.000383,0.002011
181,0.999233,0.541403,0.000383,0.002005
182,0.999233,0.541403,0.000383,0.002009
183,0.999233,0.541403,0.000383,0.002007
184,0.999169,0.536483,0.000383,0.002004
185,0.999105,0.53224,0.000383,0.002004
186,0.999169,0.536483,0.000383,0.001965
187,0.999297,0.547178,0.000383,0.001948
188,0.999233,0.541403,0.000383,0.001948
189,0.999233,0.541403,0.000383,0.001942
190,0.999233,0.541403,0.000383,0.001936
191,0.999233,0.541403,0.000383,0.001929
192,0.999233,0.541403,0.000383,0.001903
193,0.999233,0.541403,0.000383,0.001894
194,0.999233,0.541403,0.000383,0.001891
195,0.999169,0.536483,0.000383,0.001895
196,0.999297,0.547178,0.000383,0.001866
197,0.999297,0.547178,0.000383,0.001861
198,0.999297,0.547178,0.000383,0.001854
199,0.999361,0.554051,0.000383,0.001849
200,0.999297,0.547178,0.000383,0.00185
201,0.999233,0.541403,0.000383,0.001854
202,0.999169,0.536483,0.000383,0.001855
203,0.999105,0.53224,0.000383,0.001856
204,0.999169,0.536483,0.000383,0.00185
205,0.999169,0.536483,0.000383,0.001847
206,0.999041,0.528545,0.000383,0.00185
207,0.999105,0.53224,0.000383,0.001848
208,0.999041,0.528545,0.000383,0.001846
209,0.998977,0.525297,0.000383,0.001844
210,0.998977,0.525297,0.000383,0.001846
211,0.999105,0.53224,0.000383,0.001831
212,0.999169,0.536483,0.000383,0.001825
213,0.999105,0.53224,0.000383,0.001831
214,0.999105,0.53224,0.000383,0.001811
215,0.999233,0.541403,0.000383,0.001784
216,0.999233,0.541403,0.000575,0.001787
217,0.999233,0.541403,0.000575,0.001794
218,0.999169,0.536483,0.000575,0.001788
219,0.999169,0.536483,0.000575,0.001782
220,0.999169,0.536483,0.000575,0.001787
221,0.999297,0.547178,0.000575,0.001759
222,0.999233,0.541403,0.000575,0.001766
223,0.999233,0.541403,0.000575,0.00178
224,0.999233,0.541403,0.000575,0.001773
225,0.999233,0.541403,0.000575,0.001771
226,0.999233,0.541403,0.000575,0.001767
227,0.999361,0.554051,0.000575,0.001721
228,0.999297,0.547178,0.000575,0.001713
229,0.999425,0.562371,0.000575,0.001694
230,0.999361,0.554051,0.000575,0.001698
