threshold,tp,fp,fn,tn,Amount_tp_sum,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr,Amount_weighted_recall
0.0,357.0,164497.0,0,0,39398.69,0.0021655525495286737,1.0,460.77591036414566,0.0021655525495286737,0.004321746130705582,0.0,1.0,1.0
0.01,357.0,292.0,0,164205,39398.69,0.5500770416024653,1.0,0.8179271708683473,0.9982287357297973,0.709741550695825,0.9982248916393612,0.0017751083606387663,1.0
0.02,357.0,147.0,0,164350,39398.69,0.7083333333333334,1.0,0.4117647058823529,0.9991083018913706,0.8292682926829268,0.9991063666814592,0.0008936333185407541,1.0
0.03,356.0,102.0,1,164395,39397.170000000006,0.777292576419214,0.9971988795518207,0.28651685393258425,0.9993752047266066,0.8736196319018404,0.9993799279014207,0.0006200720985792829,0.9999614200370622
0.04,354.0,70.0,3,164427,39395.41,0.8349056603773585,0.9915966386554622,0.1977401129943503,0.9995571839324493,0.9065300896286812,0.9995744603245044,0.0004255396754956342,0.9999167485010289
0.05,354.0,59.0,3,164438,39395.41,0.8571428571428571,0.9915966386554622,0.16666666666666666,0.9996239096412584,0.9194805194805195,0.9996413308449394,0.00035866915506055363,0.9999167485010289
0.06,353.0,51.0,4,164446,39394.23,0.8737623762376238,0.988795518207283,0.14447592067988668,0.9996663714559549,0.9277266754270697,0.9996899639507103,0.00031003604928969697,0.999886798266643
0.07,351.0,46.0,6,164451,38813.26,0.8841309823677582,0.9831932773109243,0.13105413105413105,0.9996845693765393,0.9310344827586207,0.9997203596418172,0.00027964035818284216,0.9851408765113764
0.08,351.0,43.0,6,164454,38813.26,0.8908629441624365,0.9831932773109243,0.1225071225071225,0.9997027672971235,0.9347536617842876,0.9997385970564813,0.0002614029435187293,0.9851408765113764
0.09,351.0,39.0,6,164458,38813.26,0.9,0.9831932773109243,0.1111111111111111,0.9997270311912358,0.9397590361445783,0.9997629136093668,0.00023708639063324544,0.9851408765113764
0.1,351.0,37.0,6,164460,38813.26,0.904639175257732,0.9831932773109243,0.10541310541310542,0.999739163138292,0.9422818791946309,0.9997750718858095,0.00022492811419050351,0.9851408765113764
0.11,351.0,36.0,6,164461,38813.26,0.9069767441860465,0.9831932773109243,0.10256410256410256,0.9997452291118202,0.9435483870967742,0.9997811510240309,0.00021884897596913255,0.9851408765113764
0.12,351.0,31.0,6,164466,38813.26,0.918848167539267,0.9831932773109243,0.08831908831908832,0.9997755589794606,0.9499323410013532,0.9998115467151376,0.00018845328486238877,0.9851408765113764
0.13,350.0,29.0,7,164468,38458.93,0.9234828496042217,0.9803921568627451,0.08285714285714285,0.9997816249529887,0.9510869565217391,0.9998237049915804,0.00017629500841964685,0.9761474302825804
0.14,350.0,28.0,7,164469,38458.93,0.9259259259259259,0.9803921568627451,0.08,0.9997876909265168,0.9523809523809523,0.9998297841298017,0.0001702158701982759,0.9761474302825804
0.15,350.0,27.0,7,164470,38458.93,0.9283819628647215,0.9803921568627451,0.07714285714285714,0.9997937569000449,0.9536784741144414,0.9998358632680231,0.00016413673197690493,0.9761474302825804
0.16,349.0,26.0,8,164471,38425.17,0.9306666666666666,0.9775910364145658,0.07449856733524356,0.9997937569000449,0.953551912568306,0.9998419424062445,0.00015805759375553396,0.975290549000487
0.17,348.0,24.0,9,164473,38405.58,0.9354838709677419,0.9747899159663865,0.06896551724137931,0.9997998228735729,0.9547325102880658,0.9998541006826872,0.00014589931731279204,0.974793324346571
0.18,348.0,22.0,9,164475,38405.58,0.9405405405405406,0.9747899159663865,0.06321839080459771,0.9998119548206291,0.9573590096286108,0.99986625895913,0.00013374104087005012,0.974793324346571
0.19,348.0,21.0,9,164476,38405.58,0.943089430894309,0.9747899159663865,0.0603448275862069,0.9998180207941573,0.9586776859504132,0.9998723380973513,0.00012766190264867916,0.974793324346571
0.2,347.0,20.0,10,164477,38404.58,0.9455040871934605,0.9719887955182073,0.05763688760806916,0.9998180207941573,0.9585635359116023,0.9998784172355727,0.0001215827644273082,0.9747679427920065
0.21,347.0,18.0,10,164479,38404.58,0.9506849315068493,0.9719887955182073,0.05187319884726225,0.9998301527412135,0.961218836565097,0.9998905755120154,0.00010942448798456628,0.9747679427920065
0.22,344.0,16.0,13,164481,38300.85,0.9555555555555556,0.9635854341736695,0.046511627906976744,0.9998240867676853,0.9595536959553695,0.9999027337884582,9.726621154182435e-05,0.9721351141370436
0.23,344.0,16.0,13,164481,38300.85,0.9555555555555556,0.9635854341736695,0.046511627906976744,0.9998240867676853,0.9595536959553695,0.9999027337884582,9.726621154182435e-05,0.9721351141370436
0.24,343.0,16.0,14,164481,38293.27,0.9554317548746518,0.9607843137254902,0.04664723032069971,0.9998180207941573,0.9581005586592178,0.9999027337884582,9.726621154182435e-05,0.9719427219534456
0.25,342.0,15.0,15,164482,38263.32,0.957983193277311,0.957983193277311,0.043859649122807015,0.9998180207941573,0.957983193277311,0.9999088129266795,9.11870733204534e-05,0.9711825443942425
0.26,341.0,15.0,16,164482,38263.12,0.9578651685393258,0.9551820728291317,0.04398826979472141,0.9998119548206291,0.9565217391304348,0.9999088129266795,9.11870733204534e-05,0.9711774680833297
0.27,340.0,15.0,17,164482,37943.12,0.9577464788732394,0.9523809523809523,0.04411764705882353,0.9998058888471011,0.9550561797752809,0.9999088129266795,9.11870733204534e-05,0.9630553706227288
0.28,340.0,15.0,17,164482,37943.12,0.9577464788732394,0.9523809523809523,0.04411764705882353,0.9998058888471011,0.9550561797752809,0.9999088129266795,9.11870733204534e-05,0.9630553706227288
0.29,339.0,15.0,18,164482,37423.22,0.9576271186440678,0.9495798319327731,0.04424778761061947,0.9997998228735729,0.9535864978902954,0.9999088129266795,9.11870733204534e-05,0.9498595004047089
0.3,339.0,13.0,18,164484,37423.22,0.9630681818181818,0.9495798319327731,0.038348082595870206,0.9998119548206291,0.9562764456981664,0.9999209712031223,7.902879687771147e-05,0.9498595004047089
0.31,338.0,13.0,19,164484,37133.04,0.9629629629629629,0.9467787114845938,0.038461538461538464,0.9998058888471011,0.9548022598870056,0.9999209712031223,7.902879687771147e-05,0.9424942809012178
0.32,337.0,13.0,20,164484,37088.01,0.9628571428571429,0.9439775910364145,0.03857566765578635,0.9997998228735729,0.9533239038189534,0.9999209712031223,7.902879687771147e-05,0.9413513494991839
0.33,337.0,13.0,20,164484,37088.01,0.9628571428571429,0.9439775910364145,0.03857566765578635,0.9997998228735729,0.9533239038189534,0.9999209712031223,7.902879687771147e-05,0.9413513494991839
0.34,337.0,13.0,20,164484,37088.01,0.9628571428571429,0.9439775910364145,0.03857566765578635,0.9997998228735729,0.9533239038189534,0.9999209712031223,7.902879687771147e-05,0.9413513494991839
0.35000000000000003,337.0,12.0,20,164485,37088.01,0.9656160458452722,0.9439775910364145,0.03560830860534125,0.9998058888471011,0.9546742209631728,0.9999270503413437,7.294965865634051e-05,0.9413513494991839
0.36,336.0,12.0,21,164485,37087.01,0.9655172413793104,0.9411764705882353,0.03571428571428571,0.9997998228735729,0.9531914893617022,0.9999270503413437,7.294965865634051e-05,0.9413259679446194
