Class,score,Amount
0.0,0.00021350002,1.0
0.0,0.00012597027,47.77
0.0,8.365025e-05,160.0
0.0,8.146531e-05,83.08
0.0,1.7464477e-05,158.0
0.0,5.157371e-05,49.99
0.0,5.569223e-05,224.0
0.0,0.0013258114,0.89
0.0,0.001066516,632.4
0.0,0.00020623006,34.16
0.0,7.7684796e-05,1.0
0.0,0.00012561845,1.0
0.0,6.480809e-05,437.17
0.0,3.857327e-05,0.99
0.0,8.404251e-05,16.34
0.0,0.00010297939,600.0
0.0,0.00014229094,18.95
0.0,7.011283e-06,11.98
0.0,9.4358365e-05,1.0
0.0,4.799707e-05,1.0
0.0,3.4060624e-05,12.9
0.0,3.3171935e-05,92.82
0.0,6.0633134e-05,236.6
0.0,0.0002177266,1.0
0.0,3.3219898e-05,25.0
0.0,0.00015364985,2.89
0.0,1.6986718e-05,14.9
0.0,2.8294806e-05,68.15
0.0,0.00025871806,43.8
0.0,0.00012830514,51.48
0.0,2.6276752e-05,268.13
0.0,0.00030925425,150.91
0.0,3.6255296e-05,183.93
0.0,0.00012981873,11.84
0.0,0.000119150995,1602.99
0.0,2.5848074e-05,46.1
0.0,0.00022161027,1.98
0.0,6.47107e-05,0.89
0.0,9.690274e-05,106.07
0.0,3.2463846e-05,15.0
0.0,7.1220966e-05,68.02
0.0,3.9831462e-05,49.5
0.0,0.0009055746,3.99
0.0,5.3239422e-05,41.47
0.0,2.8219245e-05,40.82
0.0,2.8332419e-05,10.85
0.0,7.145117e-05,8.0
0.0,3.8387225e-05,5.0
0.0,1.146506e-05,9.47
0.0,4.0950894e-05,158.0
0.0,0.0002852823,25.0
0.0,4.6633064e-05,8.94
0.0,5.4067616e-05,11.67
0.0,1.4658312e-05,64.0
0.0,0.00016676787,40.0
0.0,0.0002642968,2.28
0.0,6.134787e-05,51.76
0.0,4.8569487e-05,54.99
0.0,5.469683e-05,398.0
0.0,0.00017869573,5.96
0.0,2.96422e-05,158.0
0.0,3.8168968e-05,1.29
0.0,3.4098488e-05,5.35
0.0,5.233425e-05,56.0
0.0,0.00028396348,3.75
0.0,4.3030952e-05,5.0
0.0,9.447388e-05,7.95
0.0,4.166848e-05,21.52
0.0,2.218246e-05,0.77
0.0,3.8315684e-05,1.0
0.0,0.0002446192,49.0
0.0,2.4187899e-05,1.79
0.0,4.636201e-05,30.3
0.0,0.00027692068,49.0
0.0,4.2527743e-05,5.07
0.0,4.3879794e-05,8.0
0.0,0.00062751275,46.8
0.0,0.0005711292,1.0
0.0,4.705189e-05,136.71
0.0,1.9782196e-05,42.67
0.0,0.0001828632,32.36
0.0,3.0558393e-05,22.86
0.0,0.0030196344,4.8
0.0,7.655193e-05,95.95
0.0,2.8294806e-05,72.66
0.0,7.062539e-05,14.9
0.0,3.291248e-05,55.12
0.0,0.0003463066,8.91
0.0,6.200826e-05,158.0
0.0,0.00027414816,15.08
0.0,0.00014778011,25.95
0.0,1.4415432e-05,2.31
0.0,3.349276e-05,71.73
0.0,1.48300205e-05,79.95
0.0,0.00014389373,27.34
0.0,2.9902612e-05,226.07
0.0,1.9060193e-05,26.62
0.0,0.0015984671,543.03
0.0,6.653894e-05,1.98
0.0,2.6871872e-05,0.77
0.0,0.000106818174,50.0
0.0,7.516265e-05,18.37
0.0,2.3097919e-05,37.85
0.0,4.5505712e-05,24.55
0.0,5.4407843e-05,19.36
0.0,1.7220238e-05,1.79
0.0,9.020303e-05,39.31
0.0,0.00013705791,33.62
0.0,0.00015791286,268.78
0.0,0.00032392127,44.93
0.0,5.6473313e-05,49.99
0.0,8.986176e-05,1127.78
0.0,2.71163e-05,2.28
0.0,0.0075830813,1.0
0.0,4.2195436e-05,59.95
0.0,0.0021421493,0.89
0.0,1.9936051e-05,1.0
0.0,1.4294988e-05,9.03
0.0,8.39191e-05,117.28
0.0,6.2906583e-06,17.99
0.0,4.9267925e-05,6.47
0.0,4.1700045e-05,7.48
0.0,8.3491184e-05,45.9
0.0,3.8315684e-05,1.0
0.0,3.1998956e-05,83.48
0.0,1.3831356e-05,147.2
0.0,1.9177283e-05,2.23
0.0,2.9828701e-05,10.5
0.0,3.089637e-05,46.89
0.0,0.000116447256,226.0
0.0,3.0558393e-05,24.65
0.0,0.00010689347,75.49
0.0,7.282065e-05,12.99
0.0,8.560774e-05,19.94
0.0,1.8123423e-05,2.0
0.0,5.9960385e-05,25.8
0.0,3.8958446e-05,5.0
0.0,0.00010245019,1.0
0.0,9.378837e-05,1.0
0.0,0.011264847,2452.03
0.0,0.00013445322,1.0
0.0,0.00014365808,1.0
0.0,2.5629764e-05,71.26
0.0,4.5889854e-05,919.6
0.0,1.50148935e-05,113.59
0.0,1.6408754e-05,3.25
0.0,2.8219245e-05,50.49
0.0,0.002676,1.0
0.0,4.312408e-05,36.85
0.0,8.6428896e-05,12.31
0.0,5.671656e-05,43.84
0.0,0.00017586208,145.56
0.0,4.958216e-05,11.03
0.0,0.00040077112,12.31
0.0,7.793306e-06,24.05
0.0,0.00010079375,18.45
0.0,0.00012815977,5.29
0.0,9.266672e-05,18.29
0.0,9.6849995e-05,1.98
0.0,5.5224507e-05,1.9
0.0,1.8099603e-05,3.0
0.0,9.878766e-06,1.79
0.0,0.0005342458,24.15
0.0,4.521597e-05,91.76
0.0,0.0013466445,329.0
0.0,5.764747e-05,12.14
0.0,7.32633e-05,59.9
0.0,0.00012058225,0.89
0.0,0.00018808163,1.0
0.0,5.0898372e-05,4.33
0.0,0.00023232393,24.8
0.0,2.351433e-05,160.0
0.0,9.930053e-05,15.0
0.0,9.1338305e-05,202.41
0.0,5.854513e-05,85.46
0.0,3.432733e-05,112.38
0.0,8.299346e-06,1.54
0.0,1.8749119e-05,35.0
0.0,2.2888511e-05,7.4
0.0,0.00019718672,1.0
0.0,5.170849e-05,23.15
0.0,3.3630644e-05,176.94
0.0,0.00039654592,10.0
0.0,0.0001599714,25.3
0.0,0.0004806455,6.95
0.0,4.0950894e-05,158.0
0.0,0.00012909388,155.57
0.0,6.3350024e-05,82.39
0.0,1.32433315e-05,1.79
0.0,4.0907802e-05,9.48
0.0,3.7978676e-05,79.18
0.0,3.6817328e-05,8.52
0.0,2.4314475e-05,10.0
0.0,0.00011129911,44.22
0.0,0.00010047045,0.99
0.0,2.7271719e-05,17.68
0.0,4.1734096e-05,3.62
0.0,3.135161e-05,0.77
0.0,3.9483908e-05,2.69
0.0,2.3873188e-05,0.89
0.0,4.3887787e-05,0.89
0.0,7.3125586e-05,10.67
0.0,0.000114390736,28.0
0.0,6.082157e-05,135.51
0.0,2.8951112e-05,8.99
0.0,0.00027214867,12.31
0.0,2.9681149e-05,4.19
0.0,0.00018068614,1.0
0.0,0.0005997516,223.25
0.0,5.5403903e-05,78.09
0.0,0.00012846882,8.93
0.0,4.723694e-05,13.27
0.0,1.4135512e-05,52.9
0.0,1.956975e-05,461.45
0.0,3.5376688e-05,27.01
0.0,8.478517e-05,29.0
0.0,0.0001336594,0.0
0.0,3.9964667e-05,15.0
0.0,3.92735e-05,49.95
0.0,0.00010794339,11.39
0.0,5.684104e-05,21.99
0.0,0.00021953938,1.0
0.0,1.2786523e-05,0.76
0.0,6.287559e-05,2.15
0.0,4.0419858e-05,29.82
0.0,4.6357407e-05,12.99
0.0,0.00010187134,1.0
0.0,2.5605432e-05,68.7
0.0,2.414722e-05,63.66
0.0,7.8196965e-05,19.0
0.0,1.7526494e-05,15.08
0.0,7.6663186e-05,15.0
0.0,0.0002534689,37.5
0.0,0.00015935376,37.92
0.0,6.318712e-05,23.88
0.0,0.00020047475,664.42
0.0,1.13429505e-05,149.9
0.0,0.00010505274,75.0
0.0,5.626035e-05,2.5
0.0,3.3858574e-05,329.0
0.0,4.1358504e-05,158.0
0.0,0.00020584719,15.17
0.0,0.00011680346,86.4
0.0,5.478965e-05,1.0
0.0,6.437839e-05,9.98
0.0,3.0558393e-05,27.49
0.0,0.0002895482,324.55
0.0,4.7467103e-05,23.88
0.0,8.898363e-05,67.3
0.0,9.5132826e-05,2.49
0.0,0.00019070586,19.99
0.0,6.330154e-05,156.04
0.0,0.00012762475,12.12
0.0,4.037236e-05,0.99
0.0,0.00014253403,605.5
0.0,3.7722937e-05,60.96
0.0,6.4892316e-05,10.5
0.0,6.4533284e-05,82.7
0.0,0.00028738624,72.0
0.0,4.042853e-05,1.0
0.0,0.0013788837,0.76
0.0,8.058788e-05,148.43
0.0,1.119577e-05,8.97
0.0,2.1265996e-05,13.31
0.0,0.00019084592,124.14
0.0,0.00014535218,1.0
0.0,9.9689714e-05,15.0
0.0,0.00024583994,12.98
0.0,7.6087745e-05,1.0
0.0,3.738879e-05,0.89
0.0,2.0882604e-05,9.99
0.0,7.691179e-05,633.49
0.0,0.000108252316,25.03
0.0,9.4552735e-05,411.88
0.0,1.6059206e-05,9.99
0.0,1.7041546e-05,5.0
0.0,8.6205095e-05,11.99
0.0,8.104079e-06,10.92
0.0,1.20516515e-05,0.68
0.0,0.00010783855,35.79
0.0,4.1859854e-05,0.99
0.0,3.8307244e-05,9.99
0.0,4.8553047e-05,89.99
0.0,2.0990223e-05,44.1
0.0,5.9199963e-05,1.0
0.0,2.8616862e-05,38.7
0.0,4.8216494e-05,39.05
0.0,8.059657e-05,5.0
0.0,0.00020909331,168.0
0.0,1.410524e-05,158.0
0.0,1.2864153e-05,5.0
0.0,7.7951125e-05,239.4
0.0,0.00020725116,1.0
0.0,0.00023374792,1.0
0.0,0.0002999293,1.0
0.0,4.1729403e-05,8.15
0.0,4.9934526e-05,14.9
0.0,4.4421995e-05,57.48
0.0,0.0007600946,0.76
0.0,0.0004184403,1.0
0.0,0.00046261284,71.69
0.0,4.4325094e-05,5.0
0.0,0.00014603778,202.37
0.0,0.00011956482,29.99
0.0,0.00010289979,1.0
0.0,3.143151e-05,12.81
0.0,2.5927966e-05,10.88
0.0,0.00016442734,65.0
0.0,8.590685e-06,5.35
0.0,0.0002563765,0.0
0.0,8.784547e-06,49.15
0.0,2.8294806e-05,67.72
0.0,8.014714e-05,500.0
0.0,8.136059e-05,61.18
0.0,8.811711e-05,0.78
0.0,0.00011358671,1.98
0.0,3.4802346e-05,24.97
0.0,5.5534874e-05,1.55
0.0,1.8435558e-05,41.58
0.0,7.046777e-05,21.97
0.0,0.0002057173,153.32
0.0,0.00018663728,0.92
0.0,0.00017547666,370.76
0.0,5.343566e-05,7.79
0.0,9.395495e-05,150.0
0.0,2.7080121e-05,47.93
0.0,5.6818924e-05,73.66
0.0,2.407098e-05,1.78
0.0,7.7883364e-05,6.35
0.0,0.00012466774,0.89
0.0,6.142327e-05,1.0
0.0,4.294585e-05,9.99
0.0,4.614235e-05,52.52
0.0,0.00018098253,10.62
0.0,3.143151e-05,12.46
0.0,0.0004284589,1000.0
